詞條,英文解釋,中文解釋,阿美語例句,英文例句,中文例句,參見
pekpek,to beat with hand or board,用手或木棍猛敲，猛打,Pekpeken nira ko falohang nira.,He beat his chest.,他捶打他的胸部,
,,,Mapekpek no wawa koya kolong.,That water buffalo was beaten by the children.,那隻牛被孩子們猛打,
pela',to split into two,劈開,O pela' konini.,This is half of something split.,這是另一半,mipela'
,,,Pla' en ko kasoy.,Chop / split wood,把柴火劈開,
pelek,to go off and on * to blink,眨眼，閉眼死了，霎眼,Papelek ko mata.,The eyes blinked.,眼睛在霎著,"pedek, sapelek, sapedek"
peleng,to destroy * collapse * fall apart * break up,打碎，毀壞，倒閉，崩潰，瓦解,Aka pipeleng to loma' ita.,Don't destroy our home.,不要破壞我們的家,
,,,Mapeleng to ko niyaro' nangra.,Their village is destroyed.,他們的部落被摧毀了,
peles,to knock people down with words * to criticize,用話壓制別人,,,,
,to smash something large so that the insides come out or are detached as a chicken run over by a vehicle or hand smashed in machinery.,打碎東西使裡面東西出來，或支離破碎如雞被輾死狀或手被機器壓碎,,,,
peloc,to pull off * disengage as to take off a ring * as to let down a baby that has been tied on its mother's back,鬆脫，如戒指、手燭等脫落，如揹在背上的孩子帶子鬆掉而墬落,sapeloc a wawa,the last child * the youngest,最小的孩子,
pelpel,to break or crush by beating,使破碎，使粉碎,Mepelpel no paliding koya 'aol.,That bamboo was broken by the vehicle.,那根竹子被車子壓碎,
,,,Aka pipelpel to kaysing.,Don't break the dish.,不要把碗打碎,
penec,to press down so that the thing is under one's hand or tool,用手或東西壓制東西,,,,
,to roll over on top of,在…頂上滾壓過去,,,,
,to press down so that liquid comes out as whenmaking soy milk,擠壓出汁如作豆漿的過程,,,,
penen,a plant with a stalk used in making walls in huts or shelters,管蓁，其桿可用來製作茅屋或工寮的牆壁,,,,
perar,to collapse into ruins,倒塌，崩塌,,,,
,to landslide,山崩,Maperar to koya lotok.,The mountain came sliding down.,那座山倒塌，山崩,kinaperar
peraw,a skin rash,痲疹,,,,kefing
perec,to squeese out * as to extract juice,擠壓出來,,,,
,to show disrespect for so that the person has no way to express himself,表示不尊重，所以那人不知道如何表現自己,,,,
peroc,to slide dowm,脫落，滑落,Mataperoc ko kafer nira.,His trousers don't stay up.,他的褲子脫落,tahaperoc
pesi',to smash dead * as an insect,壓死，如昆蟲,,,,
,to squeeze juice,壓榨擠汁出來,Mapesi' nira ko damdam i kohaw.,He squeezed pepper juice into the soup.,他把辣椒擠碎混在湯裡,
pespes,the act of many people piling rebuke on one person,許多人重複地，非難或叱責一個人的不是,,,,
,one person saying a lot to put down someone,一個人說太多壓制或駁倒對方的話,,,,
peyayoka,a plant called Thladiantha nudiflora Hemsl.,青牛膽,,,,
pi'acaan,market,商店、店鋪,,,,
pi'arawan,model * example,樣本，藍圖，模式，一覽表，範例,,,,'araw
pi'ayaw,an apron * From 'ayaw,圍裙，從字根'ayaw 衍生而來,,,,"pa'ayaw, ta'ayawan"
pi'ec,a small basket made of bamboo,小竹籃,,,,kanas
pi'edac,a scar from a wound,傷疤，疤痕,,,,
,a barren slope from a landslide or erosion,不毛之斜坡山崩或浸蝕,,,,tolac
pi'etengan,place where dam is placed for fishing,涸魚之堤堰,,,,'eteng
pi'iw,to be lame * crippled in one's legs or referring to the way one walks,跛腳的，或指一個人走路的樣子,o mapi'iway,a person who is crippled in his legs,跛腳的人,
,,,Mapi'iw ko rakat nira.,He walks with lameness.,他一拐一拐的走，他搖擺的走,
,,,pi'iw,a nickname given to a lame person,指跛腳的人，對跛腳者的暱稱,
pi'pi',to clap hands,拍手，鼓掌,,,,^
pi^pi,to press and pack * as to pack a bowl with rice,緊壓，如緊壓碗裡的飯,,,,
picid,to be torn on the edge,從邊緣破裂,,,,
,referring to paper or cloth,如紙或衣服,,,,
,a greenish seaweed,呈綠色的海草(海藻),,,,
piciw,to have a piece torn off or out an object,撕裂成大缺口,,,,
,comes to be a generic word for something broken or spoiled,繁衍成任何東西破碎或損壞,Mapiciw ko tangila no rinom.,The head of the needle isbroken.,針孔斷裂了,
picomodan,gateway,門口，入口,,,,
,religion,宗教派別,,,,comod
picpic,to tear in pieces paper or material,把紙或資料撕成一片一片的,Mapicpic no totoy niyam ko tikami ako.,Our puppy has shredded in pieces my letter.,我的信被小狗咬碎成一片一片的,
pida,money,錢，硬幣，鈔票,o cipidaay a tamdaw,a rich person,有錢人，富裕的人,"payso, payci, kalipidaan, papida"
pidah,to conquer,征服，克服，打勝，打贏,,,,"lowid, tapi', dawa, mapidah"
pidahpayan,clothes line * bamboo pole,曬衣場，曬衣繩，曬衣竿,,,,dahpay
piec,to become a narrow passage,逐漸狹窄,,,,
,to become dead ended as a land structure,死路，如土地結構所形成的死巷,Mapiec ko lalan.,The trail has become very narrow.,路愈來愈狹窄，路逐漸變小,
piekolan,hip bone,臀骨，恥骨,,,,kenawikos
pifalahan,toilet,垃圾堆，廁所，垃圾場,,,,"'ilidan, falah, tafalahan"
pihpih,to fan,搖動，揮動,Mipihpih to sapikpik ko 'ayam.,Birds flap their wings and / or fly.,鳥揮動翅膀而飛,sapihpih
pikacawan,a lookout tower in former Amis villages * place where youth slept and guarded the village,瞭望台，哨站，守備地點,,,,kacaw
pikadafoan,place where you become an in-law,婆家或入贅的家,,,,kadafo
pikangkangan,time to plow,犁田時期,,,,
,field to be plowed,要耕之田,,,,kangkang
pikecoran,viewpoint to look on a scene,守望台，瞭望台,,,,"cekor, kecor"
piked,bent crooked * as of metal,弄曲，如金屬物質,keden ko wa'ay iso.,Bend your legs * as to kneel.,彎曲雙腳，如跪下之狀,papikedan
pikel,strong and inflexible * as a wire that springs back and refuses to bend,堅硬而無伸縮性的，如同竹子彈回來而不再彎曲,,,,
,inflexible figuratively,比喻上的堅定，不屈不撓,,,,
,possible to in fluence and change,不易屈曲,,,,
piki'adingan,to hide and be protected,避難所,,,,
piking,disabled limb * shriveled * does not move,手臂脫臼,,,,
piko,intersection * place where there is a turn in the road,交叉點，路轉彎的地方,,,,"pikoen, talapiko, salopiko"
pikoen,(a command to) turn at that point,使彎曲，弄彎 (驅使語，命令語),,,,piko
pikongkongan,a drum made from a tree trunk * used to arouse the village to action,鼓是用樹幹做的，用來喚醒村民的行動,,,,kongkong
pikpik,to fly,擺動翅膀而飛,,,,"sapikpik, mapikpik, mipikpik"
pilali'opan,place to wash one's face,盥洗台,,,,lali'op
pilaliwan,way of escape,逃走之路,,,,laliw
pilaocan,council room,會議室,,,,
,place where a guard stands,衛兵哨，崗哨,,,,laoc
pilec,to turn one's ankle,腳扭斷,,,,
,to be weary or ill from work,疲倦，厭倦，精疲力竭,,,,
pilet,to twist and break as of a limb,手扭傷,,,,
,to twist and break as to take cooked vegetables and break them off in one's hand,把菜扭斷去煮,,,,pilec
pili',to choose * pick one,選擇，挑選,Cima ko li'an ita inacila?,Who did we choose the other day?,前幾天我們選的是誰？,
,,,Mapili' kako a mala mamatayal.,I was chosen to serve.,我被選選為服務員,
,dislike * detest,挑剔,kapili'an no tamdaw / ka'osian no tamdaw,someone who is disliked by people,被人淘汰的，被人所厭惡的,osi'
piliclican,court room,法庭，法院,,,,
,judgment day,判決，審判之日子,,,,liclic
pilifetan,a time or place of testing,考試場所或時間,,,,lifet
pilihayan,place of worship,禮拜堂,,,,lihay
pilipayan,day of worship * Sunday,禮拜日，星期日,,,,lipay
piloh,to collapse * as a house blown by the wind,使之傾倒，吹倒，倒塌如房子,,,,
pimamaan,godfather,教父,,,,
,person to be depended upon,可依靠的人,,,,mama
pina,how many?,多少?,na a foting ko maalaay namo?,How many fish did you get?,你們捕到多少魚？,
,,,Caay ka pina ko maalaay niyam.,We didn't get many.,我們沒有捕到很多,
,,,na ko paro no loma' namo?,How many members are in your family?,你們家有幾口人？,
,several,幾個,Tayra ko napina ita a miholol.,Let's several of us go and visit.,有幾個人去拜訪,
,more than two or three,比二或三多一點,Kinapina / kinapinapina kako a milicay ngraan,I asked him a number of times.,我問他好幾次,
pina'angan,time or place to put things away,儲藏室，保險箱,,,,'ang
pina'aw,a species of tree * Camptotheca acuminata Decne,旱蓮(喜樹),,,,
pina'orip,domestic animals,家禽家畜,,,,
pinalecik,broken pieces * broken bits,碎物，撕裂之物，碎片,,,,lecik
pinaloma,anything planted to be used as food,任何種植的可食植物,,,,
pinang,sign * evidence * clue,"符號, 證據, 線索",Awaay ko pinang to demak nira.,It is impossible to figure out what he is doing.,無法了解他到底在做什麼,hapinang
,,,Cipinang to kako anini a miharateng.,I have some evidence now to go on in thinking.,我現在已經有頭緒了,
,,,Caay ka cipinang ko faloco' noya tamdaw.,There is no clarity in viewing the attitude of that person / i.e. he appears ambiguous.,那個人拿不定主意,
,,,O maan ko cipinangan iso a mafana'?,How do you know? / What evidence do you have to know?,你是依據什麼瞭解的？你是如何知道的呢?,
,,,O nangan nira konini.,This is his nature / habit / way he acts.,這是他的習慣,
pinani'ol,tadpoles * offspring of frogs,小蝌蚪,,,,
pinanoman,place to drink water,喝水的地方,,,,nanom
pinapecih,"all the pieces, as left over pieces of loaves of bread",麵包切片，如被遺下的許多塊狀麵包,,,,"pinapecih, kinapecih, pecih"
pinarecik,small pottery pieces,小碎片 (飛躍出去),,,,recik
pinaro,the contents of a container,內容，容量,,,,
pincas,to be borken at the joint and hang loose as a branch of a tree,在分叉處斷裂，如樹枝,,,,pecas
ping^an,peace (from Chinese) a Christian greeting used when passing or meeting a person of the same faith,平安 (引自國語) 基督徒相遇或交錯時互相問候與祝福的話,,,,
pingaping,to flap * as the disconnected jointed section of a thing that hangs loose,東西相接的部位鬆脫而垂下飄動的現象,Mapingaping ko sapikpik no 'ayam.,The bird's wing hangs loose flapping from being broken.,鳥的翅膀因受傷而垂下飄搖,
pingaroy,to lean head on one's hand,用手把頭撐起來，用手托住顎的姿勢,,,,
pingko,to be bankrupt,破產，倒閉,,,,
pingo',to bend as if to collapse,拉住使人翻倒,,,,
,as to come behind a person and bend his legs so that he almost loses his balance,如來到別人的背後，在別人不備時拉住他的腳使他幾乎完全失去平衡,,,,
pinoer,to use one's elbow to lean on something,用手支撐在東西上,,,,
pintoh,to break * pull out of the joint where it grows * as tuberous kinds of plants,把野薑花的莖扯斷,,,,
pipacakatan,altar,聖壇，祭壇,,,,
pipacpacan,threshing frame on which harvested produce is lain and beaten out,收割時用來打穀的框子,,,,
pipakaenan,place to feed (something),放牧的地方，餵飼的槽，飼養的地方(場所),,,,kaen
pipalemedan,time for giving blessing,賜福之日,,,,lemed
pipalomaan,garden * place to plant and grow things,花園，種植之地,,,,"paloma, sapaloma, mapaloma"
pipamotekan,the goal * object in view * place towards which one is headed,目標，靶標的，鵠的,,,,amotek
pipanayan,place of harvest,割稻之地,,,,
,time of harvesting,收割時期,,,,panay
pipatefoan,a place to settle down upon * a perch,降落點，「烏」棲木，安居之地，飛機場,,,,patefo
pipato'ayaan,place where sacrifice is made,祭壇,,,,to'aya
pirina'an,a printing press * printing shop,印刷廠,,,,rina'
pirora'ay,a tree * Homalanthus fast uosus (Euphorbiacece),單萼木,,,,dika
pirorodan,model * example,模型，標本，樣本,,,,rorod
pisadatengan,vegetable garden,菜園,,,,dateng
pisafadisoso'an,vineyard,葡萄園,,,,fadisoso'
pisalisinan,time of a festival,祭禮之時間,,,,lisin
pisaliwayan,time for fasting,齋戒日,,,,"piliwayan, liway"
pisefengan,a hut in a field where a person stays who is watching the crops so they are not stolen,田中小屋，供看守者休憩用，以免穀物被盜,,,,
,a pillbox where a soldier stands guard,士兵守衛之崗哨 (瞭望台),,,,sefeng
piseto',to come apart,鬆脫,Mapiseto' ko pitaw.,The handle of the hoe comes apart from the metal hoe.,鋤頭的柄脫落,pintoh
pisiketan,place where something is joined or attached,附著處，接合處,,,,siket
pising,face,臉,Mapapisipising kita.,Let's meet face to face.,讓我們相互見面,laway
,,,sing kita a tayra. O sing aca ita,Let's go and make our appearance (at a meeting). We won't stay.,我們去照個面將不逗留,
,,,Awaay ko pising ako anini. Pa'oning kiso to pising ako.,I have lost face. You stained my face / made me lose face.,我今天沒有面子，你丟盡我的面子，你使我失面子,
pisitalaan,fortress,碉堡，要塞,,,,tala
